id,Geographic Area Name,Estimate!!Total!!Population 18 to 24 years,Estimate!!Total!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Total!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Total!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!9th to 12th grade!!no diploma,Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!Total!!Population 25 years and over!!Some college!!no degree,Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher
0500000US48001,Anderson County  Texas,4639,1116,2216,1202,105,42009,2707,5644,15224,10696,2807,3189,1742,33658,4931
0500000US48003,Andrews County  Texas,1689,236,923,491,39,10610,1431,1264,3898,2161,753,705,398,7915,1103
0500000US48005,Angelina County  Texas,7671,783,3041,3552,295,57243,5085,5741,18265,14230,4578,6455,2889,46417,9344
0500000US48007,Aransas County  Texas,1908,943,538,402,25,18136,943,1799,5392,4764,1302,2391,1545,15394,3936
0500000US48009,Archer County  Texas,696,99,257,258,82,6181,224,334,2057,1655,462,1045,404,5623,1449
0500000US48011,Armstrong County  Texas,107,1,73,29,4,1413,62,102,345,431,145,228,100,1249,328
0500000US48013,Atascosa County  Texas,4350,819,1913,1478,140,30916,3505,3527,12335,5923,1516,2875,1235,23884,4110
0500000US48015,Austin County  Texas,2326,339,1061,800,126,20134,1699,1703,5906,4585,1501,3378,1362,16732,4740
0500000US48017,Bailey County  Texas,661,223,371,67,0,4407,579,563,1553,731,201,621,159,3265,780
0500000US48019,Bandera County  Texas,1326,218,648,416,44,16678,564,1217,5301,4194,1432,2662,1308,14897,3970
0500000US48021,Bastrop County  Texas,7053,1664,2814,2320,255,54428,5345,4989,15984,13696,3331,7622,3461,44094,11083
0500000US48023,Baylor County  Texas,262,14,101,133,14,2529,98,192,822,688,231,383,115,2239,498
0500000US48025,Bee County  Texas,3501,777,1426,1255,43,22241,2432,3419,7751,4982,1398,1376,883,16390,2259
0500000US48027,Bell County  Texas,40283,4442,15757,17458,2626,206845,8130,11374,53563,60328,22680,33194,17576,187341,50770
0500000US48029,Bexar County  Texas,202571,26762,69702,90302,15805,1224170,92133,105737,308714,281560,98278,214830,122918,1026300,337748
0500000US48031,Blanco County  Texas,759,63,336,246,114,8463,345,446,2433,2181,761,1411,886,7672,2297
0500000US48033,Borden County  Texas,30,7,9,14,0,463,2,30,121,117,31,107,55,431,162
0500000US48035,Bosque County  Texas,1233,231,382,581,39,12989,740,1201,4638,2985,1022,1676,727,11048,2403
0500000US48037,Bowie County  Texas,8107,1062,3942,2939,164,63489,2340,5175,22063,16697,4588,8599,4027,55974,12626
0500000US48039,Brazoria County  Texas,29270,3927,9578,13433,2332,230216,12831,15474,58155,56232,19085,43898,24541,201911,68439
0500000US48041,Brazos County  Texas,58737,2235,8847,40433,7222,115287,7633,7755,22639,22280,7901,25082,21997,99899,47079
0500000US48043,Brewster County  Texas,702,114,263,236,89,6732,412,580,1370,1499,219,1696,956,5740,2652
0500000US48045,Briscoe County  Texas,159,0,66,69,24,1096,67,81,366,275,58,182,67,948,249
0500000US48047,Brooks County  Texas,1192,304,420,468,0,4143,627,613,1139,956,77,479,252,2903,731
0500000US48049,Brown County  Texas,3489,493,1227,1521,248,25722,1533,2031,9180,6090,1916,3618,1354,22158,4972
0500000US48051,Burleson County  Texas,1467,326,658,326,157,12396,762,1406,4864,2557,687,1480,640,10228,2120
